host	C1	C19	P15	P20	P21	dapc1.grp	PCA.pc.1	PCA.pc.2	PCA.pc.3	PCA.pc.4	PCA.pc.5	phenotype
E204	R	R	S	S	S	3	6.54093692764601	-2.67834949236482	0.576560547068523	-0.183081889254369	-0.416447152537837	RRS
E213	R	R	S	R	S	3	15.8316697282603	-0.690136985243085	-0.0937654739535516	-0.178197882101195	0.764442211633844	RRR
E216	S	S	S	S	S	3	6.65876943404763	1.43982253649887	0.341997693350199	-0.786137946480015	-0.39741128849787	SSS
E238	R	R	R	R	S	3	6.51289408565781	1.70995504115876	-0.168997434363558	0.477047995131664	0.462746959857886	RRR
E240	R	S	S	S	S	3	6.49610938255704	1.7525958213964	0.0565539964667936	-0.633270658443411	0.159686105243539	RSS
E245	R	NA	S	S	S	1	-3.1297855546546	-0.233393002373158	-0.0109730572910462	0.386065319589441	-0.0738225958886339	RNAS
E246	R	R	S	S	S	3	6.55279412459786	1.4660354246561	0.295317803467523	-0.55753857123956	-0.423954694373193	RRS
E247	R	R	R	S	S	3	6.49512055238053	-2.78414688758354	0.514474202565232	-0.114330456439377	-0.427592599977407	RRS
E248	R	S	S	S	S	3	6.66387921584496	1.3180750937535	0.285800564974286	0.493083434786701	-0.405020758223854	RSS
E253	S	S	R	S	R	1	-3.34129575339999	-4.67782392343023	0.0854165564551028	-0.348227683652159	-0.140461259704984	SSS
E255	R	R	S	R	S	2	-2.68877626610457	3.58672330853104	0.128258541277611	0.216942985061196	0.166553392659073	RRR
F005	R	R	S	R	S	1	-2.91652792600601	-4.11405995715433	0.460852404681136	-0.0494177636761305	-0.254732950692118	RRR
F009	R	R	S	R	S	1	-3.16488805429598	-0.125718111913923	-0.213150675114742	-0.822422518517081	0.656257596484791	RRR
F013	R	R	S	R	S	1	-3.00938421442818	-0.628747985531333	0.181387201541448	-0.858943236149815	-0.502065061110978	RRR
F014	S	S	S	S	S	3	6.57818541136285	-2.79917054018029	0.601712956970451	-0.0693088038651167	-0.389494199557354	SSS
F021	S	S	S	S	S	1	-3.01562521413912	-0.345453567023421	0.17699462085554	-0.866834331822193	-0.365518321638639	SSS
G006	R	R	S	R	S	2	-2.60378133068406	3.60913418837462	0.0986819558085613	0.278736287399001	0.286877209936914	RRR
G015	R	R	S	R	S	1	-3.10329798952514	-0.362189864085911	0.0262611779625607	-0.849155132222254	0.149058211467647	RRR
G021	R	R	R	R	S	1	-3.09788603670603	-0.405496421586011	-0.371358420443522	0.680858361834652	0.686792840411025	RRR
G039	R	R	R	R	S	2	-2.76262273966786	3.82973858134322	-0.108447713664744	0.141867797426114	0.455214990577082	RRR
G041	S	S	S	S	S	1	-3.01257381415828	-0.388720955554014	0.324913458930308	-0.6889345157041	-0.702285265230509	SSS
G052	R	R	S	R	S	1	-3.04676752271207	-0.611413114954991	0.0729252260748835	0.704036907580749	0.0355587898372691	RRR
G059	S	S	S	S	S	1	-3.14835805917383	-0.185446817420119	-0.204187105216148	0.701761784231533	0.0328755097318839	SSS
G087	R	R	S	R	NA	1	-3.14435323822916	-0.150510044070841	-0.0381899717601894	0.57105156162176	0.293922744270224	RRR
G089	R	R	S	R	S	1	-3.06297962017077	0.0386517758563745	-0.0144537468987691	0.704828087544588	-0.187365395051664	RRR
G109	R	R	S	R	S	1	-3.18001691324579	-0.242472287736118	-0.373951017976488	0.73814420517553	0.549392544117721	RRR
G121	S	S	S	S	S	1	-3.27475559359574	-4.91718550446296	0.00318851473513473	-0.383286908547667	0.651744971225177	SSS
G125	R	R	S	R	S	2	-2.70929999669566	3.81551530477012	-0.0155519149980016	0.137905626154667	0.142117493300861	RRR
G126	R	R	S	R	S	3	6.43909801898559	-2.8380190461232	0.362407035716062	-0.105430094868627	0.341722964373898	RRR
G127	S	S	S	S	S	1	-3.02466713981082	-0.260206288605091	-0.0234786926641958	0.752233210220188	-0.419042654724446	SSS
G131	R	R	S	R	S	3	6.46358830452458	1.83672798553768	-0.0216029715774895	0.399383740243054	0.221778875373445	RRR
G143	R	R	S	R	S	1	-3.0232424987212	-0.0239733646111182	-0.223085088428717	0.666280804589492	0.0913640578845041	RRR
G147	R	R	S	R	R	1	-3.09692032143457	-0.192723751838934	-0.258307969745097	-0.886366687949653	0.548300199758971	RRR
G154	R	R	S	R	S	2	-2.80228763248175	3.87941689984915	-0.514622736468895	0.318250731547222	1.01211895269539	RRR
G156	R	R	S	R	S	1	-3.15806033450642	-0.195523587170968	-0.669241003167985	0.539141173679513	0.941825721608176	RRR
G166	S	S	R	S	S	1	-3.30932415715943	-4.84316900716716	0.0537925200619706	-0.418832165404889	0.322134342665172	SSS
G177	R	R	S	R	S	2	-2.80790408242786	4.04366216960983	0.234362769868579	-1.10960237079579	0.306312144433705	RRR
G180	R	R	S	R	S	1	-3.05395645529962	-0.602373591385115	0.340115928785172	-0.848577539352848	-0.0959271858800967	RRR
G181	R	R	S	R	S	2	-2.8676795296785	4.11942357920924	-0.493014488311337	0.249692093374234	0.931067134049382	RRR
G187	R	R	S	R	R	2	-2.62552981204018	3.94217132615141	-0.253924024776724	0.25317974687899	0.929809255411392	RRR
